Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time
2017-04-28,Pause Deadlift 1",Back,70.0,7,,,
2017-04-28,Pause Deadlift 1",Back,80.0,7,,,
2017-04-28,Pause Deadlift 1",Back,85.0,7,,,
2017-04-28,Pause Deadlift 1",Back,75.0,7,,,
2017-04-28,Pause Deadlift 1",Back,75.0,7,,,
2017-04-28,Pause Deadlift 1",Back,75.0,7,,,
2017-04-28,Spoto Press,Chest,42.0,5,,,
2017-04-28,Spoto Press,Chest,60.0,8,,,
2017-04-28,Spoto Press,Chest,53.0,8,,,
2017-04-28,Spoto Press,Chest,53.0,8,,,
2017-04-28,Spoto Press,Chest,53.0,8,,,
2017-04-28,Spoto Press,Chest,53.0,8,,,
2017-04-28,Lat Pulldown,Back,22.0,10,,,
2017-04-28,Lat Pulldown,Back,35.0,10,,,
2017-04-28,Lat Pulldown,Back,35.0,10,,,
2017-05-01,Barbell Squat,Legs,60.0,2,,,
2017-05-01,Barbell Squat,Legs,77.0,6,,,
2017-05-01,Barbell Squat,Legs,70.0,6,,,
2017-05-01,Barbell Squat,Legs,70.0,6,,,
2017-05-01,Barbell Squat,Legs,70.0,6,,,
2017-05-01,Close Grip Barbell Bench Press,Triceps,66.0,6,,,
2017-05-01,Close Grip Barbell Bench Press,Triceps,68.0,6,,,
2017-05-01,Close Grip Barbell Bench Press,Triceps,60.0,6,,,
2017-05-01,Close Grip Barbell Bench Press,Triceps,60.0,6,,,
2017-05-01,Close Grip Barbell Bench Press,Triceps,60.0,6,,,
2017-05-01,Lat Pulldown,Back,35.0,10,,,
2017-05-01,Lat Pulldown,Back,35.0,10,,,
2017-05-01,Dumbbell Curl,Biceps,25.0,10,,,
2017-05-01,Dumbbell Curl,Biceps,25.0,10,,,
2017-05-01,Dumbbell Curl,Biceps,25.0,10,,,
2017-05-02,Deadlift,Back,80.0,2,,,
2017-05-02,Deadlift,Back,105.0,2,,,
2017-05-02,Deadlift,Back,105.0,6,,,
2017-05-02,Deadlift,Back,90.0,6,,,
2017-05-02,Deadlift,Back,80.0,6,,,
2017-05-02,Deadlift,Back,60.0,6,,,
2017-05-02,High Bar Pause Squats,Legs,65.0,6,,,
2017-05-02,High Bar Pause Squats,Legs,57.5,6,,,
2017-05-02,High Bar Pause Squats,Legs,57.5,6,,,
2017-05-02,Incline Barbell Bench Press,Chest,52.0,7,,,
2017-05-02,Incline Barbell Bench Press,Chest,57.0,7,,,
2017-05-02,Incline Barbell Bench Press,Chest,52.0,7,,,
2017-05-02,Incline Barbell Bench Press,Chest,52.0,7,,,
2017-05-04,Tempo High Bar Squat,Legs,66.0,8,,,
2017-05-04,Tempo High Bar Squat,Legs,60.0,8,,,
2017-05-04,Tempo High Bar Squat,Legs,60.0,8,,,
2017-05-04,Tempo High Bar Squat,Legs,60.0,8,,,
2017-05-04,Close Grip Barbell Bench Press,Triceps,66.0,7,,,
2017-05-04,Close Grip Barbell Bench Press,Triceps,68.0,7,,,
2017-05-04,Close Grip Barbell Bench Press,Triceps,60.0,7,,,
2017-05-04,Close Grip Barbell Bench Press,Triceps,60.0,7,,,
2017-05-04,Pull Up,Back,0.0,8,,,
2017-05-04,Pull Up,Back,0.0,8,,,
2017-05-04,Pull Up,Back,0.0,8,,,
2017-05-04,Rope Push Down,Triceps,5.0,10,,,
2017-05-04,Rope Push Down,Triceps,5.0,10,,,
2017-05-05,Pause Deadlift 1",Back,60.0,3,,,
2017-05-05,Pause Deadlift 1",Back,80.0,3,,,
2017-05-05,Pause Deadlift 1",Back,87.5,7,,,
2017-05-05,Pause Deadlift 1",Back,90.0,7,,,
2017-05-05,Pause Deadlift 1",Back,92.5,7,,,
2017-05-05,Pause Deadlift 1",Back,80.0,7,,,
2017-05-05,Pause Deadlift 1",Back,80.0,7,,,
2017-05-05,Spoto Press,Chest,65.0,8,,,
2017-05-05,Spoto Press,Chest,67.5,8,,,
2017-05-05,Spoto Press,Chest,60.0,8,,,
2017-05-05,Spoto Press,Chest,60.0,8,,,
2017-05-10,Barbell Squat,Legs,60.0,3,,,
2017-05-10,Barbell Squat,Legs,70.0,2,,,
2017-05-10,Barbell Squat,Legs,80.0,3,,,
2017-05-10,Barbell Squat,Legs,70.0,6,,,
2017-05-11,Deadlift,Back,80.0,6,,,
2017-05-11,Deadlift,Back,90.0,6,,,
2017-05-11,Deadlift,Back,80.0,6,,,
2017-05-11,Deadlift,Back,80.0,4,,,
2017-05-11,High Bar Pause Squats,Legs,50.0,3,,,
2017-05-11,High Bar Pause Squats,Legs,65.0,6,,,
2017-05-12,Barbell Squat,Legs,60.0,3,,,
